Planilha Ofícios Enviados;;;;;;;
;;;;;;;
Nº do Ofício;Destinatário;Solicitação;Status;Previsão;;;
99;SAE;vazamento de água na Rua Tamandaré, 267 Bairro Centro;Executado;;;;
100;Condomínio Avangarden;cessão do salão de festas do Condomínio Avangarden para reunião.;Concedido;;;;
101;SAE;vazamento de água na Rua Afonso Pena;Atendido;;;;
102;Sec. Infraestrutura;tapa buraco por toda extensão na Rua Osmundo Rodrigues da Cunha Bairro Sibipiruna;Atendido;;;;
103;Sec. Infraestrutura;tapa buraco por toda extensão na Rua Raul Campos e Rua Justino Rodrigues da Cunha;Atendido;;;;
104;Sec. Infraestrutura;tapa buraco por toda extensão na Rua Olímpio dos Santos;Atendido;;;;
105;SAE;vazamento de água Rua Amapá;Executado;;;;
106;Sec. Infraestrutura;rede de drenagem Rua Araras;;;;;
107;Sec. Trânsito;quebra mola Rua Araras;vai realizar estudo técnico;;;;
108;Polícia Militar;ronda Bairro Goiás;;;;;
109;Sec. Infraestrutura;tapa buraco Avenida Paraná;;;;;
110;Sec. Infraestrutura;Tapa buraco Rua Moacir Faleiros Machado Bairro Sibipiruna;Atendido;;;;
111;Sec. Infraestrutura;Tapa buraco Rua Doutor Silvio França Mendonça Bairro Sibipiruna;Atendido;;;;
112;Famep;aquecimento das piscinas Ginásio;;;;;
113;Sec. Infraestrutura;Tapa buraco Rua Alameda Eduardo Alves da Silva Bairro Sibipiruna;Atendido;;;;
114;Sec. Infraestrutura;Tapa buraco Rua Alameda Estácio de Oliveira Bairro Sibipiruna;Atendido;;;;
115;Sec. Infraestrutura;Tapa buraco Rua Vereador Nicolino Caetano Guimarães Bairro Paineiras;Atendido;;;;
116;Sec. Infraestrutura;Tapa buraco Rua Amélia Araújo Bairro Sibipiruna;Atendido;;;;
117;Sec. Infraestrutura;Avenida Rui Dácio de Belém Miguel Bairro Paineiras;Atendido;;;;
118;Sec. Serviços Urbanos;notificação terreno Avenida Teodoreto Veloso de Carvalho Bairro Sibipiruna;;;;;
119;Sec. Desenvolvimento Social;informações relativas ao Banco de Alimentos;Respondido;;;;
120;Sec. Infraestrutura;troca/substituição de lâmpadas queimadas Avenida Hospital Sagrada Família, Santa Lúcia direção Trebeschi;;;;;
121;Procon;fiscalização demora no atendimento bancário;Atendido;;;;
122;SAE;vazamento de água Rua Dois Bairro Ouro Verde;Executado;;;;
123;Sec. Serviços Urbanos;fiscalize uma possível instalação Empresa Funilaria;Proprietários notificados;;;;
124;Sec. Meio Ambiente;fiscalize uma possível instalação Empresa Funilaria;Proprietários notificados;;;;
125;Sec. Desenvolvimento Social;informações licitação do padrão de energia MUP;Respondido/Atendido;;;;
126;Sec. Fazenda;24h p responder informações relativas à gestão orçamentária e financeira do município;;;;;
